ticker,indicator,default_params,sharpe_def,mdd_def,best_params,sharpe_opt,mdd_opt
AAPL,sma,[52],-0.294,-0.509,[51],-0.167,-0.583
AAPL,ema,[52],-0.359,-0.578,[37],-0.372,-0.688
AAPL,rsi,"[17, 50]",-0.404,-0.57,"[24, 31]",0.047,-0.3
AAPL,macd,"[12, 60, 12]",-0.509,-0.137,"[17, 53, 10]",-0.496,-0.185
AAPL,bb,"[30, 2]",-0.248,-0.223,"[35, 1]",-0.188,-0.553
MSFT,sma,[52],0.205,-1.133,[33],0.557,-0.783
MSFT,ema,[52],0.214,-1.199,[88],-0.175,-0.517
MSFT,rsi,"[17, 50]",-1.005,-0.686,"[22, 32]",-0.433,-0.201
MSFT,macd,"[12, 60, 12]",0.392,-0.08,"[20, 79, 15]",0.355,-0.175
MSFT,bb,"[30, 2]",-0.733,-0.313,"[14, 3]",,0.0
AMZN,sma,[52],-0.173,-1.617,[70],-0.041,-1.501
AMZN,ema,[52],-0.301,-1.409,[94],0.024,-0.863
AMZN,rsi,"[17, 50]",-0.57,-0.569,"[19, 31]",-0.391,-0.384
AMZN,macd,"[12, 60, 12]",-0.611,-0.236,"[19, 70, 14]",-0.509,-0.19
AMZN,bb,"[30, 2]",-0.311,-0.459,"[18, 3]",-0.764,-0.023
GOOGL,sma,[52],-0.032,-0.518,[89],-0.566,-0.673
GOOGL,ema,[52],-0.407,-0.586,[82],-0.713,-0.796
GOOGL,rsi,"[17, 50]",-1.099,-0.818,"[18, 30]",-0.288,-0.232
GOOGL,macd,"[12, 60, 12]",-0.675,-0.281,"[5, 71, 15]",-0.014,-0.182
GOOGL,bb,"[30, 2]",-0.553,-0.351,"[13, 2]",-0.595,-0.296
META,sma,[52],-0.514,-0.956,[54],-0.588,-0.904
META,ema,[52],-0.834,-1.008,[29],-0.566,-1.079
META,rsi,"[17, 50]",-0.201,-0.746,"[22, 33]",0.004,-0.469
META,macd,"[12, 60, 12]",-0.061,-0.205,"[17, 80, 20]",-0.446,-0.273
META,bb,"[30, 2]",-0.878,-0.478,"[27, 3]",0.701,-0.047
NVDA,sma,[52],-0.704,-2.073,[74],-0.627,-2.103
NVDA,ema,[52],-0.68,-1.707,[25],-0.537,-2.38
NVDA,rsi,"[17, 50]",-0.357,-0.786,"[23, 31]",0.146,-0.458
NVDA,macd,"[12, 60, 12]",-0.033,-0.402,"[16, 34, 19]",0.687,-0.14
NVDA,bb,"[30, 2]",-0.336,-0.45,"[40, 3]",-0.206,-0.058
TSLA,sma,[52],-0.497,-1.09,[20],-0.8,-1.98
TSLA,ema,[52],-0.523,-1.072,[42],-0.534,-1.217
TSLA,rsi,"[17, 50]",0.576,-1.586,"[29, 31]",0.003,-0.593
TSLA,macd,"[12, 60, 12]",0.025,-0.377,"[14, 25, 13]",-0.334,-0.255
TSLA,bb,"[30, 2]",0.981,-0.49,"[12, 3]",,0.0
BRK-B,sma,[52],-0.506,-0.551,[79],-0.463,-0.537
BRK-B,ema,[52],-0.834,-0.687,[19],-0.438,-0.589
BRK-B,rsi,"[17, 50]",-0.348,-0.458,"[23, 37]",-0.199,-0.317
BRK-B,macd,"[12, 60, 12]",0.019,-0.092,"[12, 57, 8]",-0.618,-0.168
BRK-B,bb,"[30, 2]",0.26,-0.165,"[17, 3]",-0.473,-0.008
UNH,sma,[52],0.451,-0.347,[49],0.248,-0.351
UNH,ema,[52],0.229,-0.361,[76],-0.003,-0.336
UNH,rsi,"[17, 50]",-0.757,-0.62,"[27, 38]",-0.907,-0.374
UNH,macd,"[12, 60, 12]",-0.411,-0.143,"[7, 20, 7]",-1.089,-0.335
UNH,bb,"[30, 2]",-0.094,-0.178,"[12, 2]",0.375,-0.103
JNJ,sma,[52],-0.027,-0.377,[99],-0.032,-0.268
JNJ,ema,[52],0.161,-0.359,[69],0.134,-0.443
JNJ,rsi,"[17, 50]",-0.801,-0.528,"[30, 31]",-0.524,-0.172
JNJ,macd,"[12, 60, 12]",0.047,-0.065,"[5, 21, 5]",0.181,-0.13
JNJ,bb,"[30, 2]",-0.26,-0.214,"[15, 3]",-0.475,-0.004
